customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,received_at
2100-BDNSN,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),91.73250000000002,350.3,Yes,2026-09-15T13:18:10.298532
2869-ADAWR,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),120.555,4016.85,Yes,2026-09-15T13:18:10.298532
5832-EXGTT,Male,0,Yes,Yes,17,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.27000000000001,1834.15,No,2026-09-15T13:18:10.298532
9402-ORRAH,Female,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,123.525,1400.3,No,2026-09-15T13:18:10.298532
4967-WPNCF,Male,0,No,No,43,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.995,4464.8,No,2026-09-15T13:18:10.298532
8033-VCZGH,Male,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,140.3325,5231.3,No,2026-09-15T13:18:10.298532
9392-XBGTD,Male,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.810000000000002,581.85,No,2026-09-15T13:18:10.298532
0078-XZMHT,Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95250000000001,6316.2,No,2026-09-15T13:18:10.298532
0743-HNPFG,Female,0,Yes,Yes,31,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),94.16250000000001,3562.5,No,2026-09-15T13:18:10.298532
5334-JLAXU,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),127.035,5475.9,No,2026-09-15T13:18:10.298532
5696-EXCYS,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.2575,369.05,No,2026-09-15T13:18:10.298532
2569-WGERO,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.5525,1419.4,No,2026-09-15T13:18:10.298532
5219-YIPTK,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,140.94000000000003,3409.6,Yes,2026-09-15T13:18:10.298532
5553-AOINX,Female,1,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,141.615,6891.45,No,2026-09-15T13:18:10.298532
5502-RLUYV,Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,140.3325,7446.9,Yes,2026-09-15T13:18:10.298532
2058-DCJBE,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.16250000000001,324.6,Yes,2026-09-15T13:18:10.298532
2293-IJWPS,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),136.01250000000002,5985,No,2026-09-15T13:18:10.298532
7130-VTEWQ,Female,1,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.2625,606.25,Yes,2026-09-15T13:18:10.298532
0080-EMYVY,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),69.45750000000001,727.85,No,2026-09-15T13:18:10.298532
0148-DCDOS,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),127.84500000000001,2362.1,Yes,2026-09-15T13:18:10.298532
9170-ARBTB,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.460000000000004,1012.4,No,2026-09-15T13:18:10.298532
2070-FNEXE,Female,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),103.20750000000001,503.6,Yes,2026-09-15T13:18:10.298532
5364-EVNIB,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,107.73,973.45,Yes,2026-09-15T13:18:10.298532
1112-CUNAO,Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,121.2975,1424.95,Yes,2026-09-15T13:18:10.298532
4576-CSAJH,Male,0,No,No,13,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),74.4525,1193.05,Yes,2026-09-15T13:18:10.298532
9967-ATRFS,Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.865,367.55,No,2026-09-15T13:18:10.298532
1360-RCYRT,Male,0,Yes,Yes,14,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),40.972500000000004,678.75,No,2026-09-15T13:18:10.298532
5038-ETMLM,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),153.4275,8182.75,No,2026-09-15T13:18:10.298532
5663-QBGIS,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),132.7725,6929.4,No,2026-09-15T13:18:10.298532
4194-WHFCB,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),130.47750000000002,5580.8,No,2026-09-15T13:18:10.298532
9481-WHGWY,Female,0,Yes,Yes,42,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),101.7225,5437.75,No,2026-09-15T13:18:10.298532
5453-YBTWV,Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),136.485,6994.8,No,2026-09-15T13:18:10.298532
2018-PZKMU,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,139.185,970.45,No,2026-09-15T13:18:10.298532
9277-JOOMO,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.21,86.35,No,2026-09-15T13:18:10.298532
3629-ZNKXA,Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,137.43,1752.45,No,2026-09-15T13:18:10.298532
0369-ZGOVK,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),95.04000000000002,1992.2,No,2026-09-15T13:18:10.298532
3604-WLABM,Female,0,No,No,6,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.23750000000001,583,No,2026-09-15T13:18:10.298532
4063-EIKNQ,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.282500000000002,267.35,No,2026-09-15T13:18:10.298532
2878-RMWXY,Male,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),138.57750000000001,7550.3,No,2026-09-15T13:18:10.298532
9540-JYROE,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,94.635,551.35,Yes,2026-09-15T13:18:10.298532
7515-LODFU,Male,1,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.405,1356.3,No,2026-09-15T13:18:10.298532
1839-FBNFR,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.797500000000003,854.8,No,2026-09-15T13:18:10.298532
5397-NSKQG,Male,0,Yes,Yes,40,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),68.715,3281.65,No,2026-09-15T13:18:10.298532
1755-FZQEC,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.865,791.15,No,2026-09-15T13:18:10.298532
2160-GPFXD,Male,0,Yes,Yes,32,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.62750000000001,3566.7,No,2026-09-15T13:18:10.298532
4415-IJZTP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,100.575,74.5,Yes,2026-09-15T13:18:10.298532
9880-TDQAC,Female,0,Yes,Yes,43,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,81.0,4264,No,2026-09-15T13:18:10.298532
5138-WVKYJ,Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,133.04250000000002,1008.55,Yes,2026-09-15T13:18:10.298532
8844-TONUD,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,130.47750000000002,1162.85,Yes,2026-09-15T13:18:10.298532
0080-OROZO,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,133.9875,3532,No,2026-09-15T13:18:10.298532
0953-LGOVU,Male,0,Yes,Yes,7,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,47.925000000000004,432.25,No,2026-09-15T13:18:10.298532
5325-UWTWJ,Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),122.2425,2929.75,No,2026-09-15T13:18:10.298532
1074-AMIOH,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),146.13750000000002,5935.1,No,2026-09-15T13:18:10.298532
5906-BFOZT,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.325000000000003,19.5,No,2026-09-15T13:18:10.298532
7026-YMSBE,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.595000000000002,625.05,No,2026-09-15T13:18:10.298532
6572-ADKRS,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),100.98,3548.3,No,2026-09-15T13:18:10.298532
5922-ABDVO,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,121.02750000000002,1761.05,Yes,2026-09-15T13:18:10.298532
6475-VHUIZ,Female,0,Yes,No,14,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.23750000000001,1221.55,No,2026-09-15T13:18:10.298532
1324-NLTJE,Female,1,No,No,9,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),74.25,757.1,Yes,2026-09-15T13:18:10.298532
4361-FEBGN,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.2025,982.95,No,2026-09-15T13:18:10.298532
8393-DLHGA,Male,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,129.465,2448.75,Yes,2026-09-15T13:18:10.298532
6769-DCQLI,Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),141.75,5426.85,Yes,2026-09-15T13:18:10.298532
3018-TFTSU,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),110.29500000000002,858.6,Yes,2026-09-15T13:18:10.298532
2324-AALNO,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),33.142500000000005,1203.95,No,2026-09-15T13:18:10.298532
2300-RQGOI,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.067500000000003,741.5,No,2026-09-15T13:18:10.298532
6133-OZILE,Female,0,No,No,11,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,47.52000000000001,607.3,No,2026-09-15T13:18:10.298532
7605-SNLQG,Female,0,Yes,No,27,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.8375,2221.55,No,2026-09-15T13:18:10.298532
5348-CAGXB,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,120.8925,1021.75,No,2026-09-15T13:18:10.298532
0201-MIBOL,Female,1,No,No,40,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),138.24,6471.85,No,2026-09-15T13:18:10.298532
7083-MIOPC,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.337500000000002,1566.9,No,2026-09-15T13:18:10.298532
0562-KBDVM,Female,0,No,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.21000000000001,3058.15,No,2026-09-15T13:18:10.298532
1173-NOEYG,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),121.70250000000001,2423.4,No,2026-09-15T13:18:10.298532
7698-YFGEZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.0,20,No,2026-09-15T13:18:10.298532
9061-TIHDA,Male,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,128.5875,1233.65,Yes,2026-09-15T13:18:10.298532
0016-QLJIS,Female,0,Yes,Yes,39,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,122.10750000000002,5957.9,No,2026-09-15T13:18:10.298532
7296-PIXQY,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,94.77000000000001,1046.5,No,2026-09-15T13:18:10.298532
9102-IAYHT,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.35750000000002,1451.6,Yes,2026-09-15T13:18:10.298532
6447-EGDIV,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.282500000000002,683.25,No,2026-09-15T13:18:10.298532
3460-TJBWI,Male,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.67,609.05,No,2026-09-15T13:18:10.298532
3744-ZBHON,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.27,65.95,No,2026-09-15T13:18:10.298532
1092-GANHU,Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,103.47750000000002,1313.55,Yes,2026-09-15T13:18:10.298532
3948-KXDUF,Male,0,No,No,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),92.8125,4447.55,No,2026-09-15T13:18:10.298532
7284-ZZLOH,Male,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),71.955,2296.25,No,2026-09-15T13:18:10.298532
6745-JEFZB,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),123.525,3236.35,No,2026-09-15T13:18:10.298532
2606-PKWJB,Male,0,No,Yes,24,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,54.337500000000006,1564.05,No,2026-09-15T13:18:10.298532
1624-WOIWJ,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,114.34500000000001,832.05,Yes,2026-09-15T13:18:10.298532
8777-PVYGU,Female,0,Yes,No,31,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,86.805,3410.6,No,2026-09-15T13:18:10.298532
4770-QAZXN,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.2575,232.1,No,2026-09-15T13:18:10.298532
8012-SOUDQ,Female,1,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,121.8375,3838.75,No,2026-09-15T13:18:10.298532
5546-BYZSM,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.6075,775.6,No,2026-09-15T13:18:10.298532
0523-VNGTF,Female,1,No,No,31,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.17500000000001,2566.3,No,2026-09-15T13:18:10.298532
3779-OSWCF,Female,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),125.82000000000001,6506.15,No,2026-09-15T13:18:10.298532
8535-SFUTN,Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,143.7075,6300.15,No,2026-09-15T13:18:10.298532
2320-SLKMB,Female,0,No,No,16,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),60.00750000000001,1183.8,No,2026-09-15T13:18:10.298532
7169-YWAMK,Male,0,Yes,Yes,43,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),92.34000000000002,4855.35,No,2026-09-15T13:18:10.298532
8434-PNQZX,Female,0,No,No,25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.90750000000001,3373.4,No,2026-09-15T13:18:10.298532
4981-FLTMF,Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.02000000000001,3687.85,No,2026-09-15T13:18:10.298532
9424-CMPOG,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.460000000000004,197.4,No,2026-09-15T13:18:10.298532
3627-FCRDW,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,95.85000000000001,672.55,Yes,2026-09-15T13:18:10.298532
1518-OMDIK,Male,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.1425,1462.6,No,2026-09-15T13:18:10.298532
8393-JMVMB,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.2575,19.45,No,2026-09-15T13:18:10.298532
7638-QVMVY,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,106.65,522.95,Yes,2026-09-15T13:18:10.298532
6140-QNRQQ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,96.5925,71.55,Yes,2026-09-15T13:18:10.298532
7969-FFOWG,Male,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.865,1292.6,No,2026-09-15T13:18:10.298532
1342-JPNKI,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),116.1675,834.1,Yes,2026-09-15T13:18:10.298532
7080-TNUWP,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),128.25,6602.9,No,2026-09-15T13:18:10.298532
8949-JTMAY,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),133.11,2933.2,Yes,2026-09-15T13:18:10.298532
0654-HMSHN,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,140.94000000000003,2157.95,Yes,2026-09-15T13:18:10.298532
2725-KXXWT,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,122.5125,90.75,Yes,2026-09-15T13:18:10.298532
2439-QKJUL,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.337500000000002,109.8,No,2026-09-15T13:18:10.298532
1935-IMVBB,Male,0,Yes,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,121.09500000000001,4952.95,No,2026-09-15T13:18:10.298532
4628-WQCQQ,Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,114.95250000000001,3030.6,Yes,2026-09-15T13:18:10.298532
